종목코드,종목명,현재가,등락률,3개월수익률,시가총액(억),배당수익률,총보수,NAV,거래량,거래대금
486830,HANARO 머니마켓액티브,53315.0,0.009379103357719002,0.81087199001,2070.7546,0.3752,0.06,53319.71,1851.0,0.98686805
490090,TIGER 미국AI빅테크10,15470.0,-0.6741573033707865,-8.44651551465,2065.245,0.2372,0.37,15440.76,68340.0,10.58369963
0204D0,KODEX 현대차로보틱스밸류체인TOP3플러스,6080.0,0.247320692497939,-28.214589399978,2045.92,0.0,0.51,6082.32,411848.0,24.99396747
0151S0,KODEX 미국AI반도체TOP3플러스,14985.0,0.16711229946524064,-9.847523395929,2037.96,0.169,0.54,14972.53,144480.0,21.70889748
0115D0,KODEX 조선TOP10,7815.0,2.8289473684210527,-15.981970535608,2020.1775,0.3277,0.49,7855.3,815308.0,63.75610358
495060,TIME 코리아밸류업액티브,28700.0,0.8787346221441125,-14.405592350304,2009.0,0.0,0.83,28774.86,45927.0,13.2194046
466930,SOL 자동차TOP3플러스,24740.0,0.4466098254161592,-28.23415161598,2003.94,1.591,0.51,24835.94,204240.0,50.66731208
261260,KODEX 미국달러선물인버스2X,5710.0,1.3309671694764862,29.391390173643,1997.929,0.0,0.48,5709.4,289984.0,16.48381261
463050,TIME K바이오액티브,11980.0,0.3770423125261835,-8.282402674716,1994.67,0.0,0.83,11985.75,174246.0,20.86319192
414780,TIGER 차이나과창판STAR50(합성),12780.0,-1.5028901734104045,-14.597607733655,1987.29,0.1501,0.14,12925.08,135876.0,17.65530894
0005A0,KODEX 미국S&P500데일리커버드콜OTM,9100.0,-0.7092198581560284,-8.679271361759,1956.5,16.0929,0.35,9084.37,166466.0,15.15499145
495550,SOL 코리아밸류업TR,33360.0,0.31574199368516015,-6.391276775384,1934.88,0.0,0.07,33465.98,20649.0,6.92282952
302190,TIGER 중장기국채,50015.0,-0.01999000499750125,0.953298546602,1930.579,1.03,0.17,50027.05,1339.0,0.66988745
0192Z0,TIGER 중기종합채권(A-이상)액티브,100995.0,-0.03959024100559212,1.120389153217,1929.0045,0.0,0.07,100973.23,4.0,0.0040398
412570,TIGER 2차전지TOP10레버리지,1314.0,10.327455919395465,-23.119152556967,1909.242,0.4191,0.34,1331.08,10994513.0,138.43826645
480040,ACE 미국반도체데일리타겟커버드콜(합성),14425.0,-0.3798342541436464,-21.241168324072,1904.1,22.3014,0.52,14295.79,194275.0,27.993661
0091C0,KODEX 미국10년국채액티브(H),9535.0,0.05246589716684155,-0.808987006267,1898.4185,3.8394,0.18,9528.33,32727.0,3.11786979
122090,PLUS 코스피50,83950.0,0.9075064607248031,-7.632229972012,1888.875,0.6599,0.35,84276.6,19857.0,16.7890302
0093A0,RISE AI반도체TOP10,34280.0,2.2673031026252985,-2.698703234361,1885.4,0.0446,0.26,34349.74,100824.0,34.70663335
433980,KODEX TDF2040액티브 적격,15620.0,-0.3826530612244898,-5.258655706329,1882.21,1.7826,0.31,15559.32,25802.0,4.02974383
0082V0,KODEX TDF2060액티브 적격,11080.0,-0.27002700270027,-7.61342229457,1844.82,1.5329,0.36,11031.94,36321.0,4.02799191
0069M0,1Q 미국나스닥100,13075.0,-0.721336370539104,-10.528262344767,1843.575,0.448,0.17,13058.27,66100.0,8.66545541
0047A0,TIGER 차이나테크TOP10,12195.0,-0.934199837530463,-21.05420057626,1841.445,0.239,0.58,12179.32,95436.0,11.70888668
429000,TIGER 미국S&P500배당귀족,12835.0,-0.9645061728395061,-6.88303978872,1835.405,2.0925,0.32,12837.69,57042.0,7.3267468
394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),10880.0,0.6010171058714748,-18.782976838653,1832.192,0.0903,0.55,10971.16,13705.0,1.48681749
461950,KODEX 2차전지핵심소재10,5160.0,5.629477993858751,-15.79328544953,1829.22,0.3905,0.49,5188.79,1222566.0,61.44540333
494330,ACE 라이프자산주주가치액티브,32950.0,-0.33272837265577737,12.236291954631,1828.725,1.2124,0.56,32971.85,29020.0,9.57379632
0005G0,IBK K-AI반도체코어테크,52690.0,1.9148936170212767,-14.794757367338,1817.805,0.204,0.34,52842.77,17402.0,9.23411072
0190G0,KODEX 반도체타겟위클리커버드콜,9245.0,1.9294377067254687,-5.770488570112,1802.775,3.2717,0.46,9283.49,261925.0,24.33998639
332500,ACE 200TR,74850.0,0.8692136648473823,-7.109802214131,1796.4,0.0,0.04,75082.54,33603.0,25.42747915
483290,KODEX 미국배당다우존스타겟커버드콜,9935.0,-0.6003001500750376,-5.243838901458,1778.365,12.3206,0.48,9941.04,178829.0,17.80917831
473460,KODEX 미국서학개미,23100.0,0.43478260869565216,-12.898261503915,1767.15,0.2256,0.36,23057.29,6634.0,1.53510289
0099L0,ACE 우량회사채(AA-이상)액티브,99745.0,-0.025057632554876214,1.433912613003,1749.5273,0.7458,0.11,99759.96,221.0,0.2204378
403790,MIDAS 코스피액티브,59245.0,1.2735042735042734,-5.971279240481,1732.91625,0.1227,0.31,59164.24,32.0,0.01900035
494220,UNICORN SK하이닉스밸류체인액티브,48655.0,2.6043863348797975,-0.812749491202,1727.2525,0.0,0.56,48766.68,66968.0,32.67192094
233160,TIGER 코스닥150 레버리지,7645.0,5.15818431911967,-34.348852254714,1704.835,0.3716,0.35,7675.01,1557774.0,118.94746841
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),10115.0,-0.8333333333333334,-15.287249245764,1689.205,24.5447,0.52,10073.24,273654.0,27.72335569
0040X0,SOL 팔란티어미국채커버드콜혼합,9050.0,-0.9304871373836892,-4.658983515343,1683.3,25.0478,0.45,9037.95,89810.0,8.14130431
472870,RISE 미국30년국채엔화노출(합성 H),6910.0,-0.2886002886002886,-12.333698892438,1675.675,3.4219,0.18,6930.69,107219.0,7.41094985
490600,RISE 미국배당100데일리고정커버드콜,8770.0,-0.6795016987542469,-4.706021944588,1666.3,16.6929,0.34,8776.52,215600.0,18.94949975
337160,KODEX 200ESG,48860.0,0.4626297933586923,-5.391624230261,1661.24,0.8292,0.12,49013.97,7780.0,3.823521
0051G0,SOL 미국원자력SMR,13475.0,1.6981132075471699,-13.863489814272,1657.425,0.4297,0.56,13488.84,75362.0,10.22318587
237370,KODEX 코리아배당성장채권혼합,15700.0,-0.4438807863031072,0.836421056843,1632.8,2.7907,0.23,15745.28,44789.0,7.03496692
160580,TIGER 구리실물,16005.0,-1.1121408711770158,-7.857030722425,1632.51,0.0124,0.91,16182.03,49512.0,7.946531
0005D0,SOL 전고체배터리&실리콘음극재,15325.0,7.393132445690259,-16.960384571206,1616.7875,0.0907,0.51,15396.77,1047342.0,156.3023005
271050,KODEX WTI원유선물인버스(H),1797.0,-0.16666666666666666,-9.371923607009,1611.909,0.0,0.41,1793.05,3396620.0,60.70315643
200250,KIWOOM 인도Nifty50(합성),20370.0,-1.4990328820116054,-10.028405966026,1609.23,0.0096,0.36,20401.88,8929.0,1.8268613
491820,HANARO 전력설비투자,44290.0,4.69211677106725,-12.117185263194,1594.44,0.1886,0.42,44476.64,116061.0,51.70155001
0064K0,KODEX 금액티브,12255.0,-1.2091898428053205,-10.098009585078,1587.0225,0.0,0.36,12282.76,60753.0,7.42530895
272560,RISE 단기국공채액티브,114915.0,-0.008701326952360235,0.796618597156,1575.48465,1.2846,0.09,114922.41,4618.0,5.3072518
152870,파워 200,112300.0,0.7039411738331166,-7.174828964416,1572.2,0.8637,0.17,112624.34,112.0,0.12589025
491610,1Q CD금리액티브(합성),104925.0,0.004765535646206634,0.720525342634,1556.03775,0.7073,0.03,104909.56,11112.0,11.65929844
354500,ACE 코스닥150,14155.0,2.535313292285404,-12.513909475245,1542.895,0.3591,0.06,14245.36,267710.0,38.04865818
480030,ACE 미국500데일리타겟커버드콜(합성),9630.0,-0.9259259259259259,-10.527959266988,1540.8,19.3061,0.52,9592.96,180031.0,17.36853176
464240,KIWOOM 26-09회사채(AA-이상)액티브,52005.0,-0.019225223493223108,0.720978339614,1523.7465,3.5145,0.09,52015.2,66.0,0.0343236
0193G0,KoAct 코스피액티브,8630.0,0.52417006406523,-9.766980090184,1523.195,0.0,0.51,8659.3,87534.0,7.60512195
0151P0,RISE 코리아전략산업액티브,15050.0,1.7923571187013865,-13.040111556186,1497.475,0.2022,0.52,15085.41,71217.0,10.79386482
138520,TIGER 삼성그룹,36990.0,-0.3099312761083412,-6.84442511515,1494.396,0.5545,0.2,37149.59,16221.0,6.01842182
219480,KODEX 미국S&P500선물(H),33120.0,-0.12062726176115803,3.997488099484,1490.4,0.7365,0.1,33126.84,2405.0,0.7967394
0180V0,ACE 미국우주테크액티브,7870.0,3.484549638395792,-37.279850090753,1487.43,0.0,0.83,7807.12,220521.0,17.34296584
458210,KIWOOM CD금리액티브(합성),110675.0,0.018074194568704533,0.728893348595,1486.36525,0.0145,0.06,110650.78,214.0,0.23683275
