종목코드,종목명,현재가,NAV,3개월수익률,거래량,거래대금,시가총액(억),등락률
0127T0,KIWOOM 미국S&P500&배당다우존스비중전환,10800,10845.0,-9.9221,2286,24,130,-0.23
279540,KODEX 최소변동성,21350,21360.0,-11.2481,260,5,128,-0.65
0208N0,IBK 코스피액티브,7695,7677.0,,5653,44,127,-0.32
300610,TIGER K게임,5355,5354.0,-8.3474,3087,16,126,-1.47
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),10445,10506.0,3.3637,4702,49,125,-0.19
290080,RISE 200고배당커버드콜ATM,7360,7431.0,27.5271,42088,308,125,-2.45
363510,SOL KIS단기통안채,112205,112213.0,0.6052,21,2,125,0.0
140580,RISE 우량업종대표주,24825,24784.0,-14.4776,52,1,124,-0.06
400570,KODEX 유럽탄소배출권선물ICE(H),11625,11679.0,9.3705,1553,18,123,0.61
410870,TIME K컬처액티브,9455,9465.0,-10.7664,70471,669,123,-0.37
489860,KIWOOM 글로벌전력GRID인프라,14450,14526.0,-20.3041,4667,67,123,-0.34
453060,HANARO KOFR금리액티브(합성),111475,111474.0,0.6774,236,26,123,0.02
487750,BNK 온디바이스AI,30580,30647.0,-23.1973,3356,105,122,-0.31
166400,TIGER 200커버드콜OTM,24425,24451.0,8.8938,1449,35,122,-0.1
251590,PLUS 고배당저변동50,17440,17451.0,3.2793,403,7,122,-0.49
435550,KIWOOM TDF2050액티브 적격,17435,17469.0,-12.5426,3116,54,122,-0.06
360150,KODEX 코스닥150롱코스피200숏선물,2975,2955.0,-10.5498,106722,317,122,-1.16
404540,TIGER KRX기후변화솔루션,24210,24208.0,-17.4807,1362,33,121,-1.06
457700,KODEX 53-09 국고채액티브,9115,9061.0,-4.2128,333,3,120,0.22
396510,TIGER 차이나클린에너지SOLACTIVE,6670,6775.0,-26.4948,2514,16,120,-0.45
428560,KODEX 미국ETF산업Top10 Indxx,15880,15915.0,-4.5668,1179,18,119,0.06
395760,PLUS ESG성장주액티브,21605,21588.0,-14.8178,349,7,119,-0.05
332610,PLUS 미국단기회사채(AAA~A),122200,122260.0,-12.4055,141,17,117,0.27
282000,RISE 국고채3년선물인버스,114850,114823.0,-0.1653,3,0,117,0.07
453660,KODEX 미국S&P500경기소비재,16615,16711.0,-14.0033,1273,21,116,0.33
0000H0,KODEX 인도Nifty미드캡100,10105,10167.0,-10.676,330,3,116,-0.54
448490,HANARO 32-10 국고채액티브,52695,52711.0,-0.0474,10271,542,116,-0.05
269530,PLUS S&P글로벌인프라,19285,19320.0,-14.0509,87,1,116,0.08
269370,TIGER S&P글로벌인프라(합성),16465,16563.0,-13.5437,573,9,115,-0.57
451600,PLUS 국고채30년액티브,83615,83594.0,-4.7795,176,14,115,-0.19
140710,KODEX 운송,6690,6697.0,10.5439,82329,555,114,-1.62
0193L0,PLUS 삼성전자선물단일종목인버스2X,8580,8581.0,-43.6352,682946,5658,113,-0.12
430500,KIWOOM 물가채KIS,112670,112495.0,-0.1286,173,19,113,0.04
435040,ACE 글로벌브랜드TOP10,18765,18828.0,-10.0152,354,6,113,-0.21
464610,SOL 의료기기소부장Fn,7220,7240.0,-16.436,15161,109,112,-0.35
354240,RISE 미국고정배당우선증권,10105,10185.0,-14.8009,4628,46,111,-0.54
0008E0,ACE 미국중심중소형제조업,11605,11697.0,-27.5873,400,4,110,-0.09
407820,에셋플러스 코리아플랫폼액티브,6110,6105.0,-18.0667,18571,114,110,-0.57
139240,TIGER 200 철강소재,11170,11189.0,-6.9846,23429,264,109,0.45
0002C0,에셋플러스 인도일등기업포커스20액티브,10105,10179.0,-1.9846,163,1,109,-0.2
0221Z0,ACE K바이오코스닥액티브,9895,9944.0,,21030,209,109,-1.54
0203D0,PLUS 200위클리커버드콜채권혼합,9040,9061.0,-7.8504,15290,139,108,0.11
0233N0,RISE 글로벌AI낸드메모리반도체,10845,10742.0,,565560,6279,108,0.51
446700,RISE 배터리 리사이클링,10415,10349.0,-13.1732,2628,27,108,-0.62
463640,KODEX 미국S&P500유틸리티,13390,13392.0,-13.2905,1585,21,107,0.22
310080,RISE 중국MSCI China(H),9295,9260.0,-1.1715,11999,109,107,0.16
0093B0,RISE 엔비디아고정테크100,12495,12457.0,-11.3164,2917,36,106,0.04
280920,PLUS 주도업종,23480,23454.0,-20.1108,7876,189,106,-1.32
419420,KODEX 미국클린에너지나스닥,8775,8744.0,-35.5708,2292,20,105,0.46
385710,TIME K이노베이션액티브,10480,10493.0,-22.8592,1794,19,105,-2.65
140570,RISE 수출주,26180,26139.0,-11.9341,797,21,105,-1.04
451150,에셋플러스 글로벌영에이지액티브,16865,16959.0,-12.6508,5023,84,105,-0.91
0191S0,IBK 코스닥150,14105,13940.0,-19.5783,709,10,104,-0.04
0189Z0,DAISHIN 금융&지주고배당,10430,10479.0,,587,6,104,-0.9
0068M0,KODEX 미국S&P500버퍼6월액티브,11490,11577.0,-9.3238,17,0,103,-0.17
371870,ACE 차이나항셍테크,6410,6404.0,-18.5625,1073,6,103,-1.61
0113G0,KoAct 미국바이오헬스케어액티브,11365,11523.0,9.7096,26860,306,102,-1.39
237440,TIGER 경기방어채권혼합,10220,10268.0,0.9876,15749,161,102,-0.05
0120J0,BNK 카카오그룹포커스,8150,8132.0,-2.9727,3313,26,102,-0.12
461580,TIGER 코스닥글로벌,15600,15603.0,-13.6089,11302,178,101,-0.51
181480,ACE 미국부동산리츠(합성 H),83675,84036.0,0.6296,1402,117,100,-0.52
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,7105,7198.0,-19.1694,8515,60,99,-1.73
460270,KIWOOM 미국달러SOFR금리액티브(합성),12225,12255.0,-11.8284,5329,65,99,0.0
498050,HANARO 바이오코리아액티브,10415,10445.0,-16.3637,6525,68,99,-1.56
252000,TIGER 200동일가중,19770,19710.0,-5.9038,558,11,99,0.0
230480,KIWOOM 미국달러선물인버스2X,4905,4894.0,30.9333,14574,71,99,-0.1
281990,RISE 중소형고배당,17910,17890.0,1.1544,945,16,99,0.56
0001P0,마이티 바이오시밀러&CDMO액티브,8780,8796.0,-11.6667,1538,13,98,-2.55
487910,ACE 인도컨슈머파워액티브,8100,8114.0,-8.8615,707,5,97,-0.31
0226G0,WON 피지컬AI TOP2플러스액티브,12090,12122.0,,3789,46,97,-2.11
456250,KODEX 유럽명품TOP10 STOXX,8385,8387.0,-14.1411,6570,54,96,0.24
0194N0,KIWOOM 삼성전자선물단일종목레버리지,11685,11622.0,-50.041,28408,341,96,0.78
354350,HANARO 글로벌럭셔리S&P(합성),18530,18593.0,-15.4479,456,8,96,0.16
429010,TIGER 미국나스닥넥스트100,19230,19122.0,-12.483,103,1,96,-0.08
463690,KODEX 미국S&P500커뮤니케이션,17390,17421.0,-12.9185,262,4,96,0.14
0067Y0,TIGER 차이나AI소프트웨어,10030,10054.0,-21.976,19239,195,95,-3.42
117690,TIGER 차이나항셍30,18930,19052.0,-11.8633,645,12,95,-1.43
0174R0,KIWOOM 미국성장다우존스,11055,11071.0,-10.1033,22402,247,94,-0.14
0224D0,KIWOOM 미국CPU반도체TOP4+,9275,9183.0,,84815,788,93,1.15
399580,RISE 글로벌클린에너지,9260,9275.0,-33.4925,964,8,93,2.15
482030,KoAct 반도체&2차전지핵심소재액티브,8770,8768.0,-21.1181,10867,96,92,-1.35
341850,TIGER 리츠부동산인프라채권,4560,4571.0,4.4308,9687,44,91,0.22
494180,TIME 글로벌소비트렌드액티브,12930,12875.0,-9.7604,709,9,91,-0.46
